ra,dec,mag,pmra,pmdec,ci,spect,proper
0.091117,-42.887387,7.47,-12.75,-1.29,1.62,M3III,
0.091178,-7.66542,6.97,20.67,-37.87,1.444,K5,
0.09199,-9.61747,7.13,92.83,-71.33,0.446,F5,
0.093034,53.171694,7.23,16.36,-0.82,1.174,K0,
0.093265,-61.309873,7.36,4.88,9.09,0.993,K0III,
0.093404,-51.260491,7.36,12.06,-14.52,1.444,K3/K4III,
0.094368,55.709898,6.99,8.82,-1.82,1.187,K0III,
0.094989,13.396266,5.55,42.59,-6.51,0.901,G5III,
0.098543,18.235003,7.45,-150.87,-149.7,0.596,F8,
0.099091,24.569005,6.9,34.93,-17.05,1.564,K5,
0.100149,28.276949,6.62,-5.09,-4.69,1.531,K5III,
0.100942,63.679656,7.36,-5.39,-0.93,0.126,O6pe,
0.101182,40.41853,6.65,-2.99,-2.59,0.912,G5,
0.104356,58.436733,5.98,247.36,17.77,0.687,G5V,
0.105277,-49.075191,5.7,575.21,-39.94,0.519,G1IV...,
0.105609,40.898745,6.93,82.91,10.65,1.086,K0,
0.106936,-18.038252,7.31,14.92,1.87,0.402,F2IV,
0.10737,64.196168,5.57,9.7,0.01,-0.023,B9III,
0.109872,28.553404,6.68,-8.29,-13.54,0.986,G9III,
0.110209,29.021502,6.07,379.94,-178.34,0.752,K0V,
0.113911,-23.10754,6.19,97.3,-47.09,0.386,F2IV,
0.114803,-38.877668,6.91,-11.35,8.97,1.123,K0III,
0.117816,6.875548,7.44,-36.14,-24.37,0.203,A5,
0.121741,-17.38699,6.2,-10.77,17.02,0.133,A2IV/V,
0.122792,-56.836907,7.48,14.39,-20.88,1.532,K5III,
0.122925,-25.356649,7.06,210.67,-133.54,0.463,F5V,
0.122932,26.450601,7.33,131.2,-117.65,1.011,K1IV,
0.124472,-56.011483,7.48,73.66,26.59,0.466,F5IV/V,
0.126439,31.669001,6.87,8.35,-20.12,1.124,G5,
0.126886,-86.038759,7.39,22.73,6.98,-0.018,B9IV,
0.127138,40.078498,7.39,35.24,-8.78,1.008,K0,
0.127202,40.147954,6.73,-25.03,-17.45,0.951,G5,
0.128037,-65.932427,6.83,29.3,-62.83,1.158,K1/K2III,
0.12864,37.185443,7.44,7.74,-16.16,0.478,F5,
0.12892,-2.548679,6.43,30.12,2.77,-0.146,B8IIIsp...,
0.129693,-22.50856,5.93,70.1,-34.71,0.141,A1V,
0.133431,-78.598759,7.18,-2.21,0.84,0.156,A3V,
0.13381,31.391161,7.12,-28.28,-23.96,0.184,A5,
0.134303,-33.529326,5.67,-42.75,3.15,1.119,K1III,
0.135998,31.378998,7.27,44.21,-2.18,0.207,A3,
0.136693,-2.447711,6.18,7.25,-4.87,1.366,K2III,
0.137879,-14.824492,7.04,-12.43,-10.72,0.624,G2/G3V,
0.138204,-8.824112,5.99,-34.13,-35.67,1.034,G8III:,
0.139791,29.090432,2.07,135.68,-162.95,-0.038,B9p,Alpheratz
0.141237,34.934547,7.41,114.26,9.75,0.606,F8,
0.142462,63.20404,6.41,-9.43,-3.52,0.998,G3II,
0.142638,-17.578155,6.11,14.92,-47.27,1.664,M0/M1IIICNp,
0.144105,-74.238455,7.38,-1.36,-12.01,1.326,K3III,
0.14471,36.627125,6.21,-114.72,-124.6,0.504,F8IV,
0.145309,-2.222583,7.05,40.46,-4.43,0.963,G5,
0.145546,74.214765,7.44,47.07,21.98,-0.006,A0,
0.146874,8.021868,7.43,7.44,49.14,0.296,F0,
0.147223,40.494549,6.82,7.09,-7.99,1.568,K5,
0.147814,25.462985,6.24,104.61,54.77,0.976,K0III,
0.147845,0.692453,7.31,5.08,3.16,1.43,K2,
0.148235,-22.179517,7.13,-16.75,-6.16,1.64,M2III,
0.149788,-21.206353,7.21,33.7,-21.63,1.087,K0III,
0.150045,28.247543,6.47,5.9,-5.62,0.242,A4Vm,
0.150672,18.211963,5.57,140.93,-25.57,1.043,G9III,
0.15066,-54.001931,6.32,46.45,13.08,0.738,G4IV...,
0.151014,40.842859,6.93,126.0,-171.99,0.8,G5,
0.151197,19.924689,7.11,10.08,20.67,0.476,F5,
0.152382,-50.166802,7.05,19.89,-6.51,-0.122,B5V,
0.152887,59.14978,2.28,523.39,-180.42,0.38,F2III-IV,Caph
0.154625,65.070892,7.02,128.28,38.3,0.932,K0,
0.155401,17.533922,7.07,4.44,-130.47,0.644,G2III,
0.155525,79.714545,6.01,106.17,-39.37,0.203,A7IV,
0.155851,-27.987928,5.42,72.57,-9.99,0.414,F3V,
0.156836,-45.747426,3.88,122.15,-180.13,1.013,K0III,
0.157661,46.387872,7.17,11.36,-13.48,0.031,B9,
0.157788,1.244035,7.27,27.35,4.18,1.22,G5,
0.161482,-63.589789,7.4,16.63,-45.89,1.571,M2III,
0.164474,-62.296794,6.34,17.32,17.5,0.164,A6V,
0.165283,-2.561266,6.84,3.61,-14.97,1.611,K2,
0.165767,-44.66644,7.19,41.82,19.12,0.974,K1II,
0.167278,11.145813,5.54,29.73,1.64,-0.064,B9V,
0.167293,-82.224047,5.29,-21.66,-20.39,1.049,K1/K2III,
0.167591,-8.974153,7.1,79.91,11.92,0.345,F0,
0.168888,-78.300717,6.97,8.12,-23.32,1.377,K3III,
0.171239,52.255137,7.2,7.42,-2.57,-0.053,B9,
0.171908,-5.248588,5.84,34.98,-29.01,0.973,K1III,
0.172012,46.072272,5.01,4.51,0.21,0.405,F2II,
0.1741,28.652881,7.11,-5.04,-16.73,1.528,M4III:,
0.174909,57.165494,6.74,20.1,-1.19,-0.074,B7IV,
0.175667,33.130884,6.83,-25.63,-0.52,1.429,K4III,
0.176293,59.673407,6.7,7.17,-3.15,-0.017,B1V,
0.177328,-73.224389,6.66,121.5,18.57,0.372,F3/F5IV+...,
0.178565,-12.579897,5.84,149.39,-38.22,1.0,K0III,
0.179692,-34.860715,6.89,85.2,-1.28,0.951,K0III,
0.184902,4.133093,7.44,8.43,-6.03,0.998,G5,
0.18552,57.587941,6.68,-37.27,11.0,1.212,K1III,
0.186013,-3.321389,6.74,27.57,-12.04,1.025,G5,
0.187739,-15.467977,4.89,-84.2,-269.31,0.487,F5V,
0.189464,74.484543,7.15,73.95,-15.28,1.004,K0,
0.19198,40.398952,7.47,-6.8,-5.94,1.532,K0,
0.192894,-27.799737,5.41,4.61,17.09,1.346,K2III,
0.193145,-18.600657,6.93,41.63,8.79,0.994,K0III,
0.193534,-80.173734,7.21,-10.01,12.91,0.916,G8III,
0.193652,58.211829,7.09,0.25,-2.49,0.137,B5II: SB,
0.194149,55.961461,7.47,3.52,-10.46,0.2,B8,
0.195552,-35.133119,5.24,169.01,113.75,0.459,F3/F5V,
0.195762,57.27152,7.06,-3.17,-2.16,0.63,F5Ib-II,
0.196536,9.139962,7.45,-32.99,-18.32,0.891,G5,
0.197344,66.126345,7.32,12.61,-1.12,0.038,A0,
0.198715,-75.476828,7.49,0.92,5.13,1.6,K4III,
0.19891,-42.172144,6.53,-87.8,-45.06,1.041,K0III,
0.199741,48.152396,6.18,60.54,10.39,1.467,K4III,
0.200381,23.471749,6.58,86.82,3.73,0.99,K0III,
0.200403,28.6065,7.19,-14.96,-95.97,0.398,F0,
0.200839,-13.813179,6.56,-3.9,-17.19,1.074,K0III,
0.201897,47.491101,7.36,-13.46,-24.35,1.082,K0,
0.202242,53.623888,6.87,38.9,-12.28,0.262,F0,
0.202773,-17.938278,5.29,60.48,-24.69,1.478,K4III,
0.203865,39.901578,7.43,119.8,2.41,0.335,F0,
0.209341,44.590743,7.44,-9.17,-6.18,1.522,K0,
0.209356,-88.362869,7.22,13.92,2.64,0.054,B9.5IV,
0.209484,44.707195,6.5,98.84,-21.64,1.112,K0,
0.209947,44.316313,7.01,40.81,12.59,1.106,K0,
0.211204,-1.227195,7.22,77.38,-0.42,1.051,K0,
0.212565,57.22754,7.34,2.6,-7.84,1.639,K2,
0.213338,46.095405,6.63,94.57,-13.25,0.402,F2,
0.213957,37.693656,6.71,0.5,-2.74,-0.116,B2V,
0.213975,-57.912609,7.22,-117.31,35.09,0.775,K0V,
0.215316,-3.381546,7.37,0.09,-11.58,1.619,M...,
0.217167,49.926524,7.17,-2.51,4.6,0.202,A2,
0.217755,-22.470173,6.66,4.23,14.97,0.961,G8/K0III,
0.219307,16.921456,6.52,-16.55,-80.54,1.05,K1III,
0.22019,62.040878,6.63,72.25,-18.94,0.226,Am...,
0.220502,-37.822873,7.21,-9.22,-3.29,1.53,K3/K4III,
0.220598,15.183596,2.83,4.7,-8.24,-0.19,B2IV,Algenib
0.220963,-26.325331,7.44,6.22,-9.29,1.279,K1/K2III,
0.221754,-20.618703,7.45,66.88,46.25,0.48,F5IV/V,
0.222099,-84.993978,5.78,10.97,17.4,1.71,M0/M1III,
0.222368,49.723376,7.32,41.63,-7.84,0.061,A0,
0.223312,26.987545,6.24,-15.68,-32.71,0.68,G0III,
0.22524,41.03537,5.71,-122.76,-146.91,0.331,F0IV,
0.227404,42.94939,7.26,21.09,-1.31,1.257,K0,
0.228401,-26.022345,5.94,37.59,-78.73,1.548,K5III,
0.228994,-26.284959,6.14,-3.21,9.89,1.49,K4III,
0.229193,-48.684187,6.97,-17.29,-22.56,0.18,A5IV,
0.229303,-23.214784,6.86,127.13,-74.95,1.096,K1IIICNIV,
0.229362,8.193504,7.41,116.6,-5.25,0.44,F2,
0.229882,1.383586,6.79,-25.42,-15.09,1.257,K0,
0.231397,-56.999679,7.15,106.42,44.93,0.513,F6V,
0.232112,-17.545369,7.39,17.16,4.75,-0.165,B4V,
0.232275,59.999319,6.91,8.29,-10.05,1.12,G8II,
0.233675,-3.908824,7.41,47.0,-18.86,0.947,G6III,
0.233967,33.206039,6.22,-7.7,-18.77,0.009,A1V,
0.234046,76.026999,7.17,24.67,0.66,1.626,M4III:,
0.234469,-74.912002,6.97,48.24,24.14,1.341,K2III,
0.23584,26.258798,7.0,63.63,-30.49,0.534,F7IV,
0.236182,-7.199124,7.32,102.84,-66.51,0.521,F5,
0.237419,-55.069662,6.66,-2.89,-29.25,0.462,F5IV/V,
0.238946,-27.53143,7.42,-28.31,-144.53,0.64,G5V,
0.239114,-62.771951,6.63,7.22,11.18,1.697,M1III,
0.239112,-21.196962,6.89,-73.81,-233.62,0.502,F7V,
0.240129,-2.197997,7.19,-10.16,-30.18,1.34,K0,
0.241008,-7.780532,5.13,61.01,2.36,1.601,M3IIIvar,
0.241118,-14.431785,6.95,-78.95,-126.37,0.494,F5V,
0.242702,41.032642,6.68,56.93,25.22,1.172,K0,
0.243378,20.206702,4.79,90.66,1.88,1.572,M2III,
0.24349,1.296839,7.03,14.43,-12.15,0.461,F5,
0.244005,-18.932866,4.44,-27.15,-73.78,1.64,M1III,
0.244572,-14.80524,6.63,122.86,-40.2,1.03,G8III/IV,
0.245635,-46.033415,7.13,65.83,18.17,1.17,K2III,
0.246725,-14.177699,6.82,-71.05,-47.73,0.257,A7III,
0.248476,-9.569571,5.77,22.64,-8.45,-0.084,B9V,
0.248823,-3.027412,6.64,-55.36,-25.33,1.499,M0,
0.24886,22.284225,6.25,45.06,-11.0,-0.004,A1p,
0.24898,21.542112,7.06,11.15,-34.64,1.0,K2,
0.249515,-34.904223,6.17,76.54,-11.99,1.344,K3III,
0.249677,8.820962,6.02,97.67,-24.96,0.312,F0IV,
0.251883,33.030459,7.34,-13.48,-15.63,1.02,K0,
0.25193,31.535725,6.34,33.23,-5.37,1.555,K5,
0.252934,27.28344,6.35,14.69,-15.37,-0.002,A1Vn,
0.254953,44.203397,6.76,6.82,-0.66,-0.046,B9,
0.255985,28.587169,7.33,55.98,-85.69,0.441,F5,
0.259364,50.050304,7.45,-1.91,-4.15,1.62,K0,
0.26073,5.843847,6.98,46.2,3.37,1.151,K0,
0.264339,-5.601215,7.48,6.57,-5.84,0.949,G8IV...,
0.265239,61.000172,6.43,-20.94,-10.28,0.838,G8III...,
0.265257,-75.911615,6.49,-17.82,-2.41,0.983,G8/K0III,
0.265917,4.251116,7.13,21.44,-13.6,0.046,A0,
0.269126,-31.446394,5.66,117.87,-27.11,1.35,K2III,
0.26986,-79.851182,6.59,433.87,-57.95,0.749,G6V,
0.270527,76.950755,6.35,19.77,-3.13,-0.044,B9Vn,
0.272645,43.595049,6.12,35.61,-23.43,0.068,A2V,
0.27344,-70.392369,7.18,2.32,9.17,0.251,F0V,
0.273808,53.945641,7.22,1.49,-2.89,1.025,G5,
0.275683,-32.760428,7.34,33.35,-10.17,1.201,K0III,
0.276106,-13.403904,7.15,-30.35,-28.73,0.222,A8V,
0.276122,8.240154,6.12,-28.01,-14.69,0.919,G8II-III,
0.277617,1.850607,6.98,4.58,12.2,1.6,M5III,
0.278235,54.660146,7.43,-0.6,-4.06,0.266,A3...,
0.278352,-32.688435,6.67,-27.71,-25.62,1.077,K0III,
0.278429,-20.210061,6.5,-6.96,-1.53,-0.108,B6III/IV,
0.278619,36.629812,6.99,-27.92,-25.46,0.05,A0,
0.27935,13.916805,7.46,30.7,-1.23,0.167,A3,
0.279355,10.244778,6.51,2.84,8.21,1.864,M2III:,
0.280064,-78.780154,6.78,61.6,-25.18,0.451,F3III,
0.281041,46.614272,7.18,-6.1,-23.02,1.071,G5,
0.281604,-52.651149,6.84,314.94,182.5,0.655,G2V,
0.281656,49.461915,6.52,-16.27,-5.63,1.775,M0,
0.281944,23.256193,6.95,41.69,-16.08,1.06,K0III-IV,
0.282513,61.533185,5.74,-6.0,-3.46,0.898,G8III,
0.284863,38.681636,4.61,-50.01,-17.9,0.059,A2V,
0.285845,47.947405,5.86,4.05,-3.97,-0.079,B7III,
0.290152,8.876517,6.66,75.32,75.53,0.589,F5,
0.292417,-19.051092,6.46,20.45,-2.36,0.386,F3V,
0.295295,51.43309,6.11,-4.19,-1.62,-0.151,O9IIInn,
0.296583,1.688727,6.19,90.04,9.15,0.937,K0II,
0.29677,-1.862735,7.1,-4.43,4.86,0.9,G5,
0.297216,16.331013,7.21,220.65,-28.23,0.477,F6V,
0.297567,20.226994,6.91,14.37,-11.93,1.585,M4II-III,
0.298007,44.577946,7.38,29.85,-0.41,1.029,K0,
0.298974,12.771466,6.54,-7.85,-19.5,0.97,G8II,
0.299685,-13.45564,6.51,396.98,-0.6,0.599,G2V,
0.302191,3.796763,7.2,-31.38,1.95,0.309,F0,
0.302558,46.214313,6.83,30.32,-17.25,1.319,K0,
0.304708,-21.13846,6.69,1.37,-1.85,-0.008,B9/B9.5IV,
0.304791,11.206214,6.07,-32.75,-28.6,1.036,K0III,
0.305118,-36.509884,6.67,19.4,4.34,1.304,K2III,
0.305145,-2.014803,7.21,36.66,-1.41,1.311,K2,
0.305463,36.785224,4.51,-66.51,-42.48,0.054,A2V,
0.305491,44.558412,7.19,-12.75,-11.06,1.608,K2,
0.30575,-49.905614,7.27,-28.74,-40.69,1.129,K2III,
0.305767,30.39594,7.08,36.0,-51.18,1.186,K3III,
0.307238,-63.477494,7.46,90.37,-58.98,0.537,F8/G0V,
0.307661,76.276527,7.18,19.21,-6.65,-0.052,B9,
0.307995,62.202775,6.97,-1.96,-12.3,1.52,K7Iab:,
0.308193,-46.5321,7.47,-67.33,11.05,0.468,F6V,
0.308498,26.140293,7.27,-17.32,-25.76,0.174,A2...,
0.310625,31.517227,5.88,58.09,-2.91,-0.014,A0IV,
0.31101,22.879729,7.14,-0.43,31.97,0.885,G8IV,
0.311308,44.629988,7.05,-21.68,-14.02,0.115,A2,
0.311629,-8.053001,6.47,417.66,-144.2,0.674,G0V,
0.311712,43.791141,6.1,23.31,-2.72,-0.074,B8V,
0.31182,-43.235571,6.33,50.23,-0.06,1.21,K2III,
0.321703,73.122577,7.31,-14.89,-17.44,1.059,K0,
0.321868,59.13904,7.26,33.66,-1.59,0.049,B9V,
0.322362,-46.499031,7.45,16.01,8.62,1.535,M3III,
0.323799,-8.823921,3.56,-14.37,-37.84,1.214,K2III,
0.326359,-50.429427,7.44,16.76,0.24,1.654,M1/M2III,
0.326799,-7.224021,7.03,24.21,-142.03,0.508,F5,
0.328212,40.729461,6.35,-25.3,-19.0,1.179,K1III,
0.329645,36.962443,7.26,-41.39,-22.41,1.304,K0,
0.330799,-2.478883,6.96,-7.74,36.57,0.848,G5,
0.332299,16.250871,6.6,-12.91,-11.94,0.979,K0,
0.332768,-25.121947,7.45,13.93,-115.16,1.125,K1III,
0.333453,38.227397,6.97,-140.89,-276.39,0.64,G0,
0.334142,-64.874791,4.23,1707.56,1165.36,0.576,F9V,
0.334153,-17.700434,6.73,37.92,-6.72,1.249,K1III/IV,
0.33474,6.292648,6.81,-1.41,11.64,1.532,K0,
0.334769,48.865449,6.53,-3.26,-14.65,0.051,A0Vs,
0.336264,-13.061462,6.85,53.0,12.65,1.028,G8III,
0.340111,30.935614,5.89,15.27,-0.64,-0.098,B7V,
0.341759,10.91774,7.03,2.59,-28.01,1.039,K0,
0.341924,48.968633,6.46,8.08,-3.43,0.564,G0,
0.342495,45.508927,7.0,73.72,-21.95,0.563,F5,
0.342817,56.556923,6.73,44.83,-16.21,0.817,G5,
0.343295,8.190271,5.38,-4.5,9.59,1.343,K3III,
0.344178,-69.624913,5.5,-4.01,-0.64,-0.046,B9V,
0.345434,61.879595,6.8,-2.92,-0.43,2.02,M2II:,
0.345979,26.5137,7.39,36.15,26.7,1.417,K5III,
0.345978,32.911186,5.79,-29.44,-17.29,1.595,K5III,
0.346828,-23.630223,6.78,3.75,2.54,0.311,F0IV,
0.348261,-39.239873,7.14,-45.31,-37.36,0.506,F6V,
0.348368,32.978005,6.9,10.09,-64.8,0.478,F5,
0.348498,10.976901,6.57,-35.92,-27.47,0.056,A0V,
0.349847,12.771652,7.2,16.87,-5.35,0.271,A3,
0.351189,-2.909599,6.92,88.13,4.6,1.036,K0,
0.352017,37.968603,5.16,58.32,-39.65,0.442,F5III,
0.352564,35.878828,7.37,-25.97,-19.76,0.238,A0,
0.353646,-3.311823,7.36,27.93,63.05,0.529,F8,
0.354085,-35.798952,7.14,-0.26,-42.23,1.575,M0III,
0.356163,67.005408,7.23,25.67,-1.69,0.01,A1V,
0.357986,-77.426873,5.96,14.23,-6.44,1.397,K3III,
0.358583,-65.751663,7.26,59.48,1.29,1.249,K2III,
0.358665,-28.981469,5.18,32.77,-71.48,1.006,K0III,
0.35928,-66.304575,7.36,26.56,-21.2,0.006,A0V,
0.359748,38.18712,6.86,33.61,-16.42,1.094,K0,
0.361786,67.823015,6.55,-23.5,-4.15,0.981,K0,
0.362853,-20.058024,5.61,62.63,-12.77,1.58,M5/M6Ib/II,
0.364577,-23.007979,7.4,133.24,-115.04,0.631,G1V,
0.370622,-5.191936,7.11,-19.34,-19.45,0.146,A2,
0.372572,-50.992487,6.68,69.66,47.78,1.102,K2III,
0.373227,35.536349,7.02,4.15,-4.02,1.61,K5,
0.373745,13.482488,6.25,63.78,22.35,1.225,K3III,
0.376146,-61.034853,7.3,69.03,9.2,0.035,A0V,
0.379942,54.645437,7.16,-14.49,-4.97,0.874,G5,
0.380006,-39.262414,6.75,101.51,-24.55,0.371,F2IV,
0.38052,29.45428,6.95,82.08,-9.82,0.212,A3,
0.381051,-12.209438,6.39,394.27,60.45,0.659,G3V,
0.381076,-37.403411,7.03,4.19,-4.97,1.588,M0III,
0.382602,38.754287,6.69,3.2,5.18,1.556,M4III:,
0.383337,-6.463015,7.49,-31.88,-13.87,1.227,K0,
0.38421,44.52524,7.31,-5.06,0.24,0.087,A2,
0.384554,-15.942556,6.43,76.78,25.04,1.595,M0III,
0.386835,-31.035775,6.55,22.06,2.68,-0.06,B9IV,
0.389484,-29.847251,6.81,29.86,-38.29,1.56,M2III,
0.390282,-18.89162,7.11,36.35,-30.28,0.993,K0III,
0.398125,60.961413,6.57,-112.27,-91.0,0.38,F2,
0.39988,-17.810366,7.42,108.92,36.35,0.51,F6V,
0.399952,-3.475294,7.35,18.94,-6.22,0.134,A0,
0.401463,44.264734,6.66,-9.21,-4.07,0.413,F2,
0.404348,52.019914,5.58,13.7,-4.4,-0.11,B5IV,
0.408236,-2.219064,6.08,-34.51,-42.42,1.216,K1III,
0.410599,14.315514,6.48,15.07,-2.6,1.161,K0,
0.411021,31.373055,6.76,9.08,-11.21,-0.058,B9,
0.411795,-53.983998,7.27,209.71,-27.93,0.681,G8IV+...,
0.412397,-51.043867,6.81,545.6,-254.89,0.596,G3IV,
0.413193,61.831057,5.38,13.67,-2.45,0.008,B9III,
0.413787,-18.471878,6.9,-3.68,-65.49,1.426,K3III,
0.418445,53.046786,5.72,25.8,0.3,-0.056,B9IV,
0.421593,35.037243,7.37,-11.86,-5.47,1.573,K5,
0.422806,-39.26037,6.91,31.21,-89.13,0.95,G8IV:,
0.423054,-17.427668,7.06,35.97,-59.0,1.427,K3III,
0.423391,1.939692,5.77,-14.33,-12.89,0.855,G5III,
0.427916,-77.254247,2.82,2220.12,324.37,0.618,G2IV,
0.428264,54.994205,6.78,-1.02,-2.59,1.676,K2,
0.428309,7.691122,6.77,39.17,-45.05,1.3,K0,
0.429336,-27.71019,6.88,40.4,-35.47,1.293,K2III,
0.4309,71.807126,6.91,-1.39,1.48,-0.023,B1V,
0.431185,65.383533,7.45,8.09,-4.4,0.261,B9,
0.431279,-8.351456,7.41,11.44,-4.42,1.152,K0,
0.434356,20.146851,6.67,-5.27,6.77,-0.036,B8,
0.435101,55.49093,7.12,-0.72,-7.16,1.201,K0,
0.436687,56.779229,6.71,-49.64,-45.66,0.879,G5III,
0.436716,-43.679829,3.93,106.14,32.83,0.175,A7V,
